"candidate_id","title","years","location","country","skills","evidence_summary","concern_summary","response_rate","notice_period_days","last_active_date","technical_recruiter_label","technical_recruiter_notes"
"CAND_0041568","Search Engineer","5.2","Sydney","Australia","PEFT, Weaviate, Angular, Feature Engineering, GANs, Vector Search, TensorFlow, Computer Vision, BM25, Semantic Search, Recommendation Systems, CNN, Hugging Face Transformers, Spring Boot","role title; 7 retrieval/search skills; 7 career IR hints; 4 production hints","no major structural concern","0.52","90.0","2026-04-06","",""
"CAND_0018499","Senior Machine Learning Engineer","7.2","Noida, Uttar Pradesh","India","Deep Learning, Weaviate, Recommendation Systems, scikit-learn, Diffusion Models, Pinecone, Information Retrieval, Milvus, QLoRA, RAG, Embeddings, Learning to Rank, CNN, Go","role title; 9 retrieval/search skills; 9 career IR hints; 5 production hints","no major structural concern","0.61","15.0","2026-05-13","",""
"CAND_0046064","Senior NLP Engineer","8.9","Coimbatore, Tamil Nadu","India","Python, Image Classification, OpenCV, Pinecone, Haystack, Six Sigma, TTS, Diffusion Models, BM25, YOLO, OpenSearch, PEFT, Deep Learning, Elasticsearch","role title; 6 retrieval/search skills; 12 career IR hints; 6 production hints","no major structural concern","0.78","30.0","2026-04-26","",""
"CAND_0030953","Search Engineer","7.8","Chennai, Tamil Nadu","India","TTS, MLOps, Learning to Rank, Databricks, Time Series, ASR, Qdrant, Reinforcement Learning, Python, Hugging Face Transformers, pgvector, Weaviate, RAG, LangChain","role title; 5 retrieval/search skills; 11 career IR hints; 6 production hints","no major structural concern","0.63","45.0","2026-04-11","",""
"CAND_0060072","Staff Machine Learning Engineer","5.7","Indore, Madhya Pradesh","India","Deep Learning, Sentence Transformers, PyTorch, Feature Engineering, Milvus, Fine-tuning LLMs, Next.js, BM25, Redux, Qdrant, ASR, Reinforcement Learning, Prompt Engineering, Embeddings","role title; 7 retrieval/search skills; 5 career IR hints; 3 production hints","low response","0.1","90.0","2026-01-24","",""
"CAND_0077337","Staff Machine Learning Engineer","7.0","Kochi, Kerala","India","GANs, Semantic Search, QLoRA, pgvector, Pinecone, Feature Engineering, BM25, Information Retrieval, LLMs, OpenCV, Data Science, Forecasting, Excel, RAG","role title; 9 retrieval/search skills; 10 career IR hints; 8 production hints","no major structural concern","0.95","60.0","2026-05-26","",""
"CAND_0079387","AI Engineer","6.9","Trivandrum, Kerala","India","scikit-learn, Recommendation Systems, Python, Time Series, Sentence Transformers, JavaScript, Illustrator, Vector Search, Next.js, OpenSearch, YOLO, Reinforcement Learning, QLoRA, LoRA","role title; 6 retrieval/search skills; 11 career IR hints; 5 production hints","no major structural concern","0.81","30.0","2026-04-25","",""
"CAND_0031593","Search Engineer","7.8","Kolkata, West Bengal","India","Haystack, OpenCV, Hugging Face Transformers, CNN, Java, ASR, BentoML, Recommendation Systems, HTML, Statistical Modeling, GCP, Weights & Biases, BM25, LangChain","role title; 4 retrieval/search skills; 7 career IR hints; 4 production hints","no major structural concern","0.58","90.0","2026-03-19","",""
"CAND_0074735","Applied ML Engineer","5.5","Chandigarh, Chandigarh","India","YOLO, RAG, Prompt Engineering, LlamaIndex, Machine Learning, Weaviate, GANs, ASR, Information Retrieval, BentoML, Object Detection, Semantic Search, Vector Search, Project Management","role title; 7 retrieval/search skills; 3 career IR hints; 4 production hints","no major structural concern","0.77","90.0","2026-03-28","",""
"CAND_0082618","Data Scientist","3.7","Vizag, Andhra Pradesh","India","Feature Engineering, Information Retrieval, Vector Search, BentoML, Recommendation Systems, ASR, Apache Beam, LLMs, PyTorch, MLflow, Qdrant","role title; 4 retrieval/search skills; 2 production hints","services-only career","0.38","30.0","2026-04-22","",""
"CAND_0091712","Data Scientist","4.8","Delhi, Delhi","India","PEFT, TTS, Information Retrieval, Recommendation Systems, ASR, Statistical Modeling, Image Classification, Forecasting, Sales, scikit-learn, Prompt Engineering, Sentence Transformers, LoRA","role title; 2 retrieval/search skills; 3 career IR hints; 2 production hints","services-only career; low response","0.32","45.0","2026-05-24","",""
"CAND_0090813","Mechanical Engineer","2.5","Sydney","Australia","Django, BigQuery, Illustrator, React, Tailwind, Airflow, Scrum, Information Retrieval, Embeddings, LLMs, Recommendation Systems, Prompt Engineering, Vector Search, Hugging Face Transformers","7 retrieval/search skills; 1 career IR hints; 3 production hints","services-only career; low response","0.17","60.0","2026-01-10","",""
"CAND_0083879","Machine Learning Engineer","7.1","Noida, Uttar Pradesh","India","MLOps, Fine-tuning LLMs, Milvus, Image Classification, Data Science, scikit-learn, Hugging Face Transformers, Prompt Engineering, Machine Learning, Sentence Transformers","role title; 1 retrieval/search skills; 3 career IR hints; 6 production hints","no major structural concern","0.47","30.0","2026-04-17","",""
"CAND_0005972","Graphic Designer","8.9","Bangalore, Karnataka","India","Node.js, JavaScript, Snowflake, Figma, Spark, Microservices, Redux, Databricks, Image Classification, SAP, BigQuery, Information Retrieval, Sentence Transformers, Recommendation Systems","5 retrieval/search skills; 5 production hints","services-only career","0.71","60.0","2026-04-10","",""
"CAND_0081686","Search Engineer","6.0","Austin","USA","Machine Learning, Kubeflow, Embeddings, FAISS, Feature Engineering, OpenCV, Milvus, BigQuery, CNN, Python, LangChain, Semantic Search, QLoRA, Java","role title; 5 retrieval/search skills; 10 career IR hints; 4 production hints","no major structural concern","0.91","60.0","2026-04-25","",""
"CAND_0065835","Junior ML Engineer","3.3","Chennai, Tamil Nadu","India","Time Series, Weights & Biases, TensorFlow, MLOps, Data Science, LoRA, Feature Engineering, MLflow, FAISS, Speech Recognition, Airflow, RAG","role title; 2 retrieval/search skills; 3 career IR hints; 2 production hints","services-only career","0.83","60.0","2026-03-24","",""
"CAND_0092278","Senior NLP Engineer","6.8","Pune, Maharashtra","India","TensorFlow, Machine Learning, Hugging Face Transformers, gRPC, QLoRA, pgvector, NLP, Elasticsearch, Vector Search, Milvus, LLMs, PEFT, Object Detection, MLflow","role title; 4 retrieval/search skills; 11 career IR hints; 6 production hints","low response","0.07","90.0","2025-11-07","",""
"CAND_0039383","Applied ML Engineer","7.1","Gurgaon, Haryana","India","GANs, FAISS, ASR, Kubeflow, Recommendation Systems, Hugging Face Transformers, QLoRA, Feature Engineering, NLP, LoRA, Vector Search, MLflow, Elasticsearch, Prompt Engineering","role title; 4 retrieval/search skills; 7 career IR hints; 3 production hints","no major structural concern","0.61","90.0","2026-03-19","",""
"CAND_0069905","Applied ML Engineer","6.6","Bhubaneswar, Odisha","India","Flask, Redux, LoRA, Computer Vision, Speech Recognition, Image Classification, Recommendation Systems, Sentence Transformers, LangChain, TensorFlow, Hugging Face Transformers, MLOps, Forecasting, Python","role title; 4 retrieval/search skills; 9 career IR hints; 2 production hints","no major structural concern","0.78","90.0","2026-04-21","",""
"CAND_0008425","Senior NLP Engineer","7.8","Kolkata, West Bengal","India","Learning to Rank, Qdrant, Weights & Biases, pgvector, Sentence Transformers, NLP, Haystack, TensorFlow, Python, Prompt Engineering, Image Classification, Object Detection, Semantic Search, LoRA","role title; 6 retrieval/search skills; 11 career IR hints; 8 production hints","no major structural concern","0.66","90.0","2026-04-25","",""
"CAND_0099401","NLP Engineer","7.7","Ahmedabad, Gujarat","India","BM25, Embeddings, ASR, Deep Learning, Qdrant, Haystack, Information Retrieval, GANs, Reinforcement Learning, Semantic Search, scikit-learn, LlamaIndex, Photoshop, Python","role title; 6 retrieval/search skills; 6 career IR hints; 6 production hints","no major structural concern","0.42","90.0","2026-05-27","",""
"CAND_0029367","Senior Data Scientist","5.7","Bangalore, Karnataka","India","GANs, Haystack, BentoML, MLflow, TensorFlow, QLoRA, FAISS, Sentence Transformers, RAG, NLP, LangChain, Image Classification, PyTorch, Pinecone","role title; 5 retrieval/search skills; 7 career IR hints; 2 production hints","no major structural concern","0.77","90.0","2026-05-20","",""
"CAND_0050876","Applied ML Engineer","6.0","Kolkata, West Bengal","India","SQL, Qdrant, MLOps, FAISS, scikit-learn, Weights & Biases, LlamaIndex, Forecasting, Machine Learning, OpenSearch, YOLO, Kubeflow, QLoRA, Sentence Transformers","role title; 4 retrieval/search skills; 6 career IR hints; 4 production hints","no major structural concern","0.67","90.0","2026-05-26","",""
"CAND_0005260","Senior NLP Engineer","5.2","Chennai, Tamil Nadu","India","Statistical Modeling, MLOps, Snowflake, Prompt Engineering, Information Retrieval, Speech Recognition, Semantic Search, Deep Learning, Python, NLP, MLflow, LoRA, RAG, Kubeflow","role title; 5 retrieval/search skills; 9 career IR hints; 5 production hints","no major structural concern","0.86","60.0","2026-05-10","",""
"CAND_0047721","Senior Data Scientist","7.0","Coimbatore, Tamil Nadu","India","Learning to Rank, MLOps, Milvus, BM25, RAG, Diffusion Models, Image Classification, Redux, Information Retrieval, Photoshop, FAISS, Qdrant, Machine Learning, OpenCV","role title; 7 retrieval/search skills; 6 career IR hints; 4 production hints","no major structural concern","0.49","90.0","2026-04-05","",""
"CAND_0081846","Lead AI Engineer","6.7","Jaipur, Rajasthan","India","Data Science, Information Retrieval, LlamaIndex, pgvector, Forecasting, Learning to Rank, Elasticsearch, PyTorch, Vector Search, scikit-learn, Deep Learning, Recommendation Systems, Python, Embeddings","role title; 10 retrieval/search skills; 10 career IR hints; 6 production hints","no major structural concern","0.73","30.0","2026-05-03","",""
"CAND_0099049","Mechanical Engineer","9.7","Austin","USA","Kafka, CNN, gRPC, Apache Beam, Vue.js, Spring Boot, Data Pipelines, Project Management, Apache Flink, Vector Search, Fine-tuning LLMs, FAISS, LLMs, Semantic Search","5 retrieval/search skills; 1 career IR hints; 4 production hints","services-only career","0.36","90.0","2025-10-17","",""
"CAND_0053527","Junior ML Engineer","7.0","Bangalore, Karnataka","India","Pinecone, scikit-learn, Qdrant, CNN, Image Classification, QLoRA, MLOps, Reinforcement Learning, Photoshop","role title; 2 retrieval/search skills; 3 career IR hints; 4 production hints","no major structural concern","0.81","90.0","2026-05-27","",""
"CAND_0030550","AI Research Engineer","5.2","Coimbatore, Tamil Nadu","India","Pinecone, Time Series, Machine Learning, GANs, GraphQL, scikit-learn, Weights & Biases, LLMs, YOLO, Semantic Search","role title; 2 retrieval/search skills; 4 career IR hints; 4 production hints","long notice; low response","0.34","120.0","2026-03-20","",""
"CAND_0071974","Senior AI Engineer","7.8","Vizag, Andhra Pradesh","India","LoRA, Learning to Rank, Weaviate, PEFT, BM25, Pinecone, Machine Learning, Information Retrieval, Qdrant, Embeddings, CNN, RAG, MLOps, Forecasting","role title; 9 retrieval/search skills; 7 career IR hints; 8 production hints","no major structural concern","0.76","45.0","2026-04-16","",""
